,Unnamed: 0,t,DF(t),MarketRate,P,V,PD,PS
0,0,18627.958333333332,1.0,-0.48224999010562897,1.0,-0.48224999010562897,0.0009765625,0.9990234375
1,1,18628.958333333332,1.0,-0.48224999010562897,1.0,-0.9644999802112579,0.0009765625,0.9990234375
2,2,18629.958333333332,1.0,-0.48224999010562897,1.0,-1.446749970316887,0.0009765625,0.9990234375
3,3,18630.958333333332,1.0,-0.48224999010562897,1.0,-1.9289999604225159,0.0009765625,0.9990234375
4,4,18631.958333333332,1.0,-0.48224999010562897,1.0,-2.411249950528145,0.0009765625,0.9990234375
5,5,18632.958333333332,1.0000140251967031,-0.498,1.000002337532784,-2.909256935076103,0.0009765625,0.9990234375
6,6,18633.958333333332,1.0000271307952289,-0.498,1.000005879427419,-3.407270446212127,0.0009765625,0.9990234375
7,7,18634.958333333332,1.0000402365655088,-0.498,1.00001017406968,-3.90529048402175,0.0009765625,0.9990234375
8,8,18635.958333333332,1.0000533425075453,-0.498,1.000014970562776,-4.403317048590508,0.0009765625,0.9990234375
9,9,18636.958333333332,1.0000664486213402,-0.498,1.0000201183686326,-4.901350140003935,0.0009765625,0.9990234375
10,10,18637.958333333332,1.0000795549068966,-0.498,1.000025521690293,-5.39938975834757,0.0009765625,0.9990234375
11,11,18638.958333333332,1.0000926613642158,-0.498,1.0000311166631197,-5.897435903706949,0.0009765625,0.9990234375
12,12,18639.958333333332,1.0001059061867497,-0.498,1.000036869703399,-6.39548864498795,0.0009765625,0.9990234375
13,13,18640.958333333332,1.0001191511846923,-0.498,1.000042746952063,-6.893547982277927,0.0009765625,0.9990234375
14,14,18641.958333333332,1.0001323963580464,-0.498,1.0000487235791284,-7.391613915664235,0.0009765625,0.9990234375
15,15,18642.958333333332,1.0001456417068144,-0.498,1.0000547809621088,-7.889686445234228,0.0009765625,0.9990234375
16,16,18643.958333333332,1.0001588872309979,-0.498,1.0000609048602787,-8.387765571075265,0.0009765625,0.9990234375
17,17,18644.958333333332,1.0001721329306006,-0.498,1.0000670841975188,-8.885851293274705,0.0009765625,0.9990234375
18,18,18645.958333333332,1.0001853788056234,-0.498,1.0000733102295243,-9.383943611919905,0.0009765625,0.9990234375
19,19,18646.958333333332,1.0001987255510552,-0.498,1.000079580995601,-9.88204257724433,0.0009765625,0.9990234375
20,20,18647.958333333332,1.000212072474589,-0.498,1.0000858901136478,-10.380148189336676,0.0009765625,0.9990234375
21,21,18648.958333333332,1.0002254195762286,-0.498,1.000092232361947,-10.878260448285639,0.0009765625,0.9990234375
22,22,18649.958333333332,1.0002387668559751,-0.498,1.0000986034269048,-11.376379354179914,0.0009765625,0.9990234375
